date, pm25, pm10, no2, latitude, longitude
13/11/2020,37,12,6,59.33716532,18.03549986
14/11/2020,38,17,3,59.33716532,18.03549986
15/11/2020,48,25,4,59.33716532,18.03549986
16/11/2020,60,7,6,59.33716532,18.03549986
17/11/2020,18,5,4,59.33716532,18.03549986
18/11/2020,10,8,5,59.33716532,18.03549986
19/11/2020,12,19,9,59.33716532,18.03549986
20/11/2020,16,3,3,59.33716532,18.03549986
21/11/2020,9,10,1,59.33716532,18.03549986
22/11/2020,15,16,7,59.33716532,18.03549986
23/11/2020,12,6,9,59.33716532,18.03549986
24/11/2020,14,7,6,59.33716532,18.03549986
25/11/2020,20,13,9,59.33716532,18.03549986
26/11/2020,34,10,10,59.33716532,18.03549986
27/11/2020,21,7,6,59.33716532,18.03549986
28/11/2020,21,9,5,59.33716532,18.03549986
29/11/2020,25,15,8,59.33716532,18.03549986
30/11/2020,38,11,8,59.33716532,18.03549986
01/12/2020,29,14,8,59.33716532,18.03549986
02/12/2020,37,21,4,59.33716532,18.03549986
03/12/2020,47,9,4,59.33716532,18.03549986
04/12/2020,30,23,4,59.33716532,18.03549986
05/12/2020,60,25,2,59.33716532,18.03549986
06/12/2020,61,14,2,59.33716532,18.03549986
07/12/2020,38,17,3,59.33716532,18.03549986
08/12/2020,42,13,5,59.33716532,18.03549986
09/12/2020,40,20,3,59.33716532,18.03549986
10/12/2020,51,18,4,59.33716532,18.03549986
11/12/2020,48,15,3,59.33716532,18.03549986
12/12/2020,48,18,1,59.33716532,18.03549986
13/12/2020,56, , ,59.33716532,18.03549986
01/07/2020,12,10,5,59.33716532,18.03549986
02/07/2020,14,9,5,59.33716532,18.03549986
03/07/2020,11,6,4,59.33716532,18.03549986
04/07/2020,11,6,4,59.33716532,18.03549986
05/07/2020,15,8,3,59.33716532,18.03549986
06/07/2020,10,5,5,59.33716532,18.03549986
07/07/2020,7,5,9,59.33716532,18.03549986
08/07/2020,8,5,5,59.33716532,18.03549986
09/07/2020,8,7,5,59.33716532,18.03549986
10/07/2020,12,5,4,59.33716532,18.03549986
11/07/2020,11,4,3,59.33716532,18.03549986
12/07/2020,7,5,6,59.33716532,18.03549986
13/07/2020,10,8,5,59.33716532,18.03549986
14/07/2020,17,9,4,59.33716532,18.03549986
15/07/2020,20,10,5,59.33716532,18.03549986
16/07/2020,20,11,6,59.33716532,18.03549986
17/07/2020,16,9,3,59.33716532,18.03549986
18/07/2020,18,12,4,59.33716532,18.03549986
19/07/2020,25,13,4,59.33716532,18.03549986
20/07/2020,26,6,5,59.33716532,18.03549986
21/07/2020,8,6,5,59.33716532,18.03549986
22/07/2020,6,6,4,59.33716532,18.03549986
23/07/2020,5,5,4,59.33716532,18.03549986
24/07/2020,6,4,4,59.33716532,18.03549986
25/07/2020,7,5,3,59.33716532,18.03549986
26/07/2020,12,9,4,59.33716532,18.03549986
27/07/2020,19,10,3,59.33716532,18.03549986
28/07/2020,25,8,3,59.33716532,18.03549986
29/07/2020,16,5,5,59.33716532,18.03549986
30/07/2020,10,7,4,59.33716532,18.03549986
31/07/2020,17,11,5,59.33716532,18.03549986
01/08/2020,27,10,3,59.33716532,18.03549986
02/08/2020,24,11,4,59.33716532,18.03549986
03/08/2020,17,8,6,59.33716532,18.03549986
04/08/2020,9,12,4,59.33716532,18.03549986
05/08/2020,16,10,6,59.33716532,18.03549986
06/08/2020,18,14,9,59.33716532,18.03549986
